Ticker,Company Name,Sector,Industry,Exchange
500013.BO,Ansal Properties & Infrastructure Limited,,,BSE
500020.BO,The Bombay Dyeing and Manufacturing Company Limited,,,BSE
500028.BO,"500028.BO,0P0000PT44,21594",,,BSE
500039.BO,Banco Products (India) Limited,,,BSE
500041.BO,Bannari Amman Sugars Limited,,,BSE
500051.BO,Bhagawati Gas Ltd,,,BSE
500059.BO,Binani Industries Limited,,,BSE
500060.BO,Birla Cable Limited,,,BSE
500069.BO,Quest Capital Markets Limited,,,BSE
500089.BO,DIC India Limited,,,BSE
500093.BO,CG Power and Industrial Solutions Limited,,,BSE
500097.BO,Dalmia Bharat Sugar and Industries Limited,,,BSE
500102.BO,Ballarpur Industries Limited,,,BSE
500285.BO,"500285.BO,0P0000AZXM,5977282",,,BSE
500490.BO,Bajaj Holdings & Investment Limited,,,BSE
500780.BO,Zuari Industries Limited,,,BSE
500878.BO,CEAT Limited,,,BSE
AARTIIND.NS,Aarti Industries Limited,Basic Materials,Specialty Chemicals,NSE
AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,NSE
ABB.NS,ABB India Limited,Industrials,Specialty Industrial Machinery,NSE
ABBOTINDIA.NS,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,NSE
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,NSE
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,NSE
ACC.NS,ACC Limited,Basic Materials,Building Materials,NSE
ADANIENSOL.NS,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,NSE
ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,NSE
ADANIGREEN.NS,Adani Green Energy Limited,Utilities,Utilities - Renewable,NSE
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,NSE
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,NSE
