ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,screener_roce,fixed_assets_ratio,investment_ratio,screener_debt_to_equity,screener_opm,screener_dividend_payout
20MICRONS.NS,9.7323475,,6274293248.0,9202146304,644288000,1173447936.0,4336886784,,,,0.07001,0.10623,0.47129002,,,,,0.001,0.162,0.16,35.637,,,0.71,0.0684,0.552,Basic Materials,Other Industrial Metals & Mining,58.0,113.0,52.0,118.0,48.0,19.0,0.3412698412698413,0.12380952380952381,0.3103448275862069,13.0,
360ONE.NS,35.64085,24.98687,422547030016.0,44772601856,12161699840,28223399936.0,32575600640,0.14392,0.07098,,0.27163,0.57660997,0.72758,,,,,0.269,0.11,0.157,161.977,13.022,2.515,1.74,0.4111,0.362,Financial Services,Asset Management,63.0,,,63.0,470.0,7.0,,0.8143767060964513,0.0,29.0,
3IINFOLTD.NS,5.8566666,,3644083968.0,7045799936,550899968,-237624992.0,684700032,,,,0.07819,-0.0287,0.09718,,,,,-0.051,-0.954,-0.947,10.763,,,,0.0,-0.461,Technology,Information Technology Services,46.0,,,46.0,-156.0,30.0,0.2948453608247423,0.22268041237113403,0.4050632911392405,6.0,
3MINDIA.NS,99.20317,50.560688,375859052544.0,48887488512,3783418880,9462075392.0,20700594176,,,,0.07739,0.17493999,0.42343,,,,,0.127,,,6.416,,,0.48,0.4764,0.215,Industrials,Conglomerates,65.0,89.0,104.0,50.0,38.0,38.0,0.154627539503386,0.0,0.06397515527950311,20.0,
5PAISA.NS,24.71223,22.161291,16103024640.0,2827401984,433976000,,2826481920,,,,0.15349,0.23244,0.99967,,,,,-0.11,-0.237,-0.24,46.389,,,,0.0,0.377,Financial Services,Capital Markets,0.0,,,0.0,-786.0,14.0,0.009703196347031963,0.00228310502283105,0.46411483253588515,32.0,
A2ZINFRA.NS,119.57143,,2948246272.0,3848508928,23833000,206873504.0,597683008,,,,0.00619,-0.01511,0.15529999,,,,,0.289,,,353.886,,,,0.0,0.207,Industrials,Engineering & Construction,466.0,,,466.0,-555.0,1.0,0.033003300330033,0.20462046204620463,9.571428571428571,1.0,
AAATECH.NS,40.41057,,1275112192.0,275755008,34145000,34348752.0,178580992,,,,0.12382,0.11416,0.64761,,,,,-0.31,-0.186,-0.197,,,,1.51,0.6106,0.347,Technology,Information Technology Services,128.81,,,128.81,113.4,16.02,0.030894782862139317,0.0,0.0,13.24,
AAREYDRUGS.NS,73.77049,,2551887360.0,3908960000,34350000,25026750.0,65464000,,,,0.00879,-0.024260001,0.01675,,,,,-0.279,-0.219,-0.207,38.267,,,,0.0,0.803,Healthcare,Drug Manufacturers - Specialty & Generic,103.0,36.0,81.0,58.0,89.0,6.0,0.08503401360544217,0.006802721088435374,0.34459459459459457,0.0,
AARON.NS,41.444443,,2890823424.0,887916992,72287000,164108992.0,319529984,,,,0.08141,0.16535,0.35986,,,,,0.265,0.128,0.124,72.439,,,0.43,0.17959999,-0.149,Industrials,Specialty Industrial Machinery,24.45,120.29,22.87,121.87,13.63,18.62,0.6452277409018082,0.0,0.7242314647377939,19.89,
AARTECH.NS,88.163635,,1540545536.0,339735008,17321000,53897752.0,194355008,,,,0.05098,0.29993,0.57208,,,,,-0.245,-0.69,-0.672,15.972,,,0.26,0.22729999,0.666,Industrials,Electrical Equipment & Parts,59.71,198.4,85.76,172.35,63.8,4.57,0.07754301895011981,0.2705292964495753,0.15794091839719218,3.78,
AARTIDRUGS.NS,17.058823,15.263158,34408787968.0,25217703936,2025784960,2990173184.0,8941546496,,,,0.08033,0.06164,0.35457,,,,,0.081,0.094,0.094,39.05,,,0.53,0.0452,0.236,Healthcare,Drug Manufacturers - Specialty & Generic,118.0,106.0,97.0,127.0,79.0,14.0,0.43207126948775054,0.023608017817371936,0.32811334824757643,12.0,
