ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry
500028.BO,27.276785,,1622736512,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
500069.BO,18.832438,,3855000064,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown
AARTIIND.NS,47.922405,23.934002,138892738560,75683201024.0,2908699904.0,9937000448.0,24825499648.0,0.05215,0.03086,,0.038429998,0.08901,0.32801998,,,,,0.291,1.021,1.038,69.555,0.781,0.369,0.26,0.125,0.423,Basic Materials,Specialty Chemicals
AAVAS.NS,20.616138,20.734276,123195408384,14270451712.0,6032698880.0,,14150078464.0,0.13823,0.033210002,,0.42273998,0.55015,0.99156,,,,,0.175,0.101,0.108,307.971,1138.982,1138.982,,0.0,0.349,Financial Services,Mortgage Finance
ABB.NS,62.25396,53.380672,1099518705664,130106499072.0,17669900288.0,20980500480.0,51233701888.0,,,,0.13557,0.14009,0.39378,,,,,0.137,-0.071,-0.071,1.018,,,0.84,0.5189,0.532,Industrials,Specialty Industrial Machinery
ABBOTINDIA.NS,42.37288,36.27964,639072731136,67143700480.0,15089500160.0,17731700736.0,30733799424.0,0.40068,0.20238,,0.22473,0.27517998,0.45773,,,,,0.076,0.158,0.158,4.549,2.755,2.015,1.58,0.6689,0.038,Healthcare,Drug Manufacturers - Specialty & Generic
ABCAPITAL.NS,28.74092,50.29661,931106455552,295615299584.0,32629000192.0,,80241197056.0,0.10341,0.01203,,0.11038,0.15333,0.27144,,,,,-0.031,-0.147,-0.146,459.779,67.394,67.394,,0.0,0.622,Financial Services,Financial Conglomerates
ABSLAMC.NS,21.941545,21.207842,212403224576,20525600768.0,9709800448.0,13156100096.0,16093800448.0,0.28410998,0.21365,,0.47306,0.62566,0.78407997,,,,,-0.026,-0.006,-0.004,1.929,1.202,1.202,3.26,0.7154,0.213,Financial Services,Asset Management
ACC.NS,10.5008745,15.571261,349823860736,239476604928.0,33373700096.0,33994899456.0,107014701056.0,0.18207,0.06243,,0.13936,0.09561,0.44687,,,,,0.286,4.651,4.608,2.435,2.018,0.878,0.41,0.0423,0.009,Basic Materials,Building Materials
ADANIENSOL.NS,52.83069,32.27631,1199480766464,256203603968.0,22553800704.0,89578201088.0,116214996992.0,0.10536,0.058709998,,0.08803,0.26982,0.45360002,,,,,0.067,-0.271,-0.209,186.654,1.33,0.991,,0.0,0.739,Utilities,Utilities - Independent Power Producers
